Restaurant Name,City,Address,Longitude,Latitude,Rating text
Nonna's Pasta & Pizzeria,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",121.0565874,14.23767897,Very Good
Balay Dako,Tagaytay City,"Aguinaldo Highway, Tagaytay City",120.951589,14.101834,Excellent
Hobing Korean Dessert Cafe,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",121.045878,14.55436,Excellent
Wildflour Cafe + Bakery,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",121.04622,14.549337,Very Good
NIU by Vikings,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",121.053725,14.545858,Excellent
The Food Hall by Todd English,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",121.0534998,14.54565535,Excellent
Chez Michou,BrasÌ_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, BrasÌ_lia",-47.88178889,-15.76414167,Average
CafÌ© Daniel Briand,BrasÌ_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, BrasÌ_lia",-47.88266667,-15.7775,Good
Casa do Biscoito Mineiro,BrasÌ_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, BrasÌ_lia",-47.88213611,-15.75747222,Good
Maori,BrasÌ_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, BrasÌ_lia",-47.88816667,-15.75883333,Good
Pizza ÌÊ Bessa,BrasÌ_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, BrasÌ_lia",-47.91566667,-15.83116667,Average
Sushi Loko,BrasÌ_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, BrasÌ_lia",-47.91566667,-15.831,Average
Beirute,BrasÌ_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, BrasÌ_lia",-47.9075,-15.82,Good
New Koto,BrasÌ_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, BrasÌ_lia",-47.91016667,-15.82733333,Good
Sandubas CafÌ©,BrasÌ_lia,"EdifÌ_cio JosÌ© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, BrasÌ_lia",-47.89016667,-15.797,Not rated
Villa Tevere,BrasÌ_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, BrasÌ_lia",-47.92366667,-15.83133333,Very Good
Rovereto,BrasÌ_lia,"Rua 13 Norte, Lote 4, ÌÅguas Claras, BrasÌ_lia",-48.019,-15.83716667,Average
Buena Carne,BrasÌ_lia,"Avenida AraucÌÁrias, 1325, Loja 19, ÌÅguas Claras, BrasÌ_lia",-48.01909167,-15.839775,Good
Taco Pep,BrasÌ_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, ÌÄguas Claras, BrasÌ_lia",-48.01666667,-15.83483333,Very Good
Coco Bambu,BrasÌ_lia,"BrasÌ_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, BrasÌ_lia",-47.889,-15.7865,Very Good
TaypÌÁ,BrasÌ_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, BrasÌ_lia",-47.872359,-15.860621,Good
Outback Steakhouse,BrasÌ_lia,"ParkShopping - Piso 2, SAI/SO, ÌÅrea 6580, GuarÌÁ I, BrasÌ_lia",-47.95628333,-15.83451389,Very Good
ManzuÌÁ,BrasÌ_lia,"PontÌ£o Lago Sul, SHIS 10, Lote 9, Lago Sul, BrasÌ_lia",-47.87283333,-15.82566667,Average
Coco Bambu,BrasÌ_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, BrasÌ_lia",-47.8685,-15.819,Excellent
Gero,BrasÌ_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, BrasÌ_lia",-47.885812,-15.720118,Average
Brazilian American Burgers,BrasÌ_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, BrasÌ_lia",-47.92102778,-15.79753056,Good
Pesqueiro Eco Gourmet,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida LÌ_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,Very Good
Confeitaria Colombo,Rio de Janeiro,"Rua GonÌ_alves Dias, 32, Centro, Rio de Janeiro",-43.178826,-22.905293,Excellent
Bibi,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",-43.18669167,-22.97207222,Excellent
Cervantes,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",-43.17583333,-22.96216667,Excellent
Amir,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",-43.176,-22.96516667,Very Good
TT Burger,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro",-43.191,-22.98683333,Excellent
Braseiro da GÌÁvea,Rio de Janeiro,"PraÌ_a Santos Dumont, 116, GÌÁvea, Rio de Janeiro",-43.227042,-22.973507,Excellent
Balada Mix,Rio de Janeiro,"Rua AnÌ_bal de MendonÌ_a, 37, Ipanema, Rio de Janeiro",-43.211425,-22.98520833,Excellent
Garota de Ipanema,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",-43.203,-22.98533333,Excellent
ZazÌÁ BistrÌ« Tropical,Rio de Janeiro,"Rua Joana AngÌ©lica, 40, Ipanema, Rio de Janeiro",-43.20520833,-22.98531944,Excellent
FilÌ© de Ouro,Rio de Janeiro,"Rua Jardim BotÌ¢nico, 731, Jardim BotÌ¢nico, Lagoa, Rio de Janeiro",-43.219563,-22.966647,Very Good
D.O.C Ristorante,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das AmÌ©ricas, 3500, Barra da Tijuca, Rio de Janeiro",-43.34879167,-22.99991111,Very Good
Sushi Leblon,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",-43.227,-22.98416667,Excellent
Talho Capixaba,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",-43.22566667,-22.98516667,Very Good
Leme Light,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",-43.17279167,-22.963925,Very Good
Shirley,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",-43.17126389,-22.96337222,Very Good
Quiosque Chopp Brahma,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",-43.341164,-22.870413,Not rated
AprazÌ_vel,Rio de Janeiro,"Rua AprazÌ_vel, 62, Santa Teresa, Rio de Janeiro",-43.18736944,-22.92481389,Excellent
Aconchego Carioca,Rio de Janeiro,"Rua BarÌ£o de Iguatemi, 379, Tijuca, Rio de Janeiro",-43.21551111,-22.91370833,Excellent
Garota de Ipanema,Rio de Janeiro,"Avenida JoÌ£o Alves, 56, Urca, Rio de Janeiro",-43.16266667,-22.94783333,Very Good
Cantina Famiglia Mancini,SÌ£o Paulo,"Rua Avanhandava, 81, Bela Vista, SÌ£o Paulo 10000",-46.64516667,-23.55066667,Excellent
Templo da Carne - Marcos Bassi,SÌ£o Paulo,"Rua Treze de Maio, 668, Bela Vista, SÌ£o Paulo 01327000",-46.64633333,-23.559,Very Good
Gopala Hari,SÌ£o Paulo,"Rua Antonio Carlos, 429, ConsolaÌ_Ì£o, SÌ£o Paulo",-46.65866667,-23.55616667,Average
Jiquitaia,SÌ£o Paulo,"Rua AntÌ«nio Carlos, 268, ConsolaÌ_Ì£o, SÌ£o Paulo",-46.657523,-23.55671,Very Good
Skye - Hotel Unique,SÌ£o Paulo,"Hotel Unique, Avenida Brigadeiro LuÌ_s AntÌ«nio, 4700, Jardim Paulista, SÌ£o Paulo",-46.666851,-23.581688,Excellent
Les 3 Brasseurs,SÌ£o Paulo,"Rua JesuÌ_no Arruda, 470, Itaim Bibi, SÌ£o Paulo",-46.67511,-23.582135,Excellent
Red Steak & Burger,SÌ£o Paulo,"Rua TabapuÌ£, 1417, Itaim Bibi, SÌ£o Paulo",-46.683888,-23.585324,Good
Cantinho da Gula,SÌ£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, SÌ£o Paulo, SP",-46.67566667,-23.581,Not rated
Paris 6 Classique,SÌ£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo",-46.666041,-23.561568,Average
Kawa Sushi,SÌ£o Paulo,"Alameda Lorena, 300, Jardim Paulista, SÌ£o Paulo",-46.657418,-23.571638,Good
A Figueira Rubaiyat,SÌ£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo 10000",-46.66983333,-23.5655,Very Good
Kinoshita,SÌ£o Paulo,"Rua Jacques FÌ©lix, 405, Vila Nova ConceiÌ_Ì£o, Moema, SÌ£o Paulo",-46.67133333,-23.59233333,Good
Meats,SÌ£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, SÌ£o Paulo",-46.68133333,-23.56483333,Very Good
Paribar,SÌ£o Paulo,"PraÌ_a Dom JosÌ© Gaspar, 42, RepÌ_blica, SÌ£o Paulo 10000",-46.64159444,-23.54664167,Very Good
TerraÌ_o ItÌÁlia,SÌ£o Paulo,"EdifÌ_cio ItÌÁlia - 41å¡ Andar, Avenida Ipiranga, 344, RepÌ_blica, SÌ£o Paulo",-46.643425,-23.545163,Very Good
Divino FogÌ£o,SÌ£o Paulo,"Shopping MetrÌ« Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, SÌ£o Paulo",-46.63716667,-23.5995,Not rated
Super Grill,SÌ£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni JÌ_nior, 1089, Santo Amaro, SÌ£o Paulo",-46.698574,-23.622925,Not rated
Esquina MocotÌ_,SÌ£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, SÌ£o Paulo",-46.581672,-23.486535,Very Good
Veloso,SÌ£o Paulo,"Rua ConceiÌ_Ì£o Veloso, 56, Vila Mariana, SÌ£o Paulo",-46.63566667,-23.58516667,Excellent
Sainte Marie Gastronomia,SÌ£o Paulo,"Rua Dom JoÌ£o Batista da Costa, 70, Vila SÌ«nia, SÌ£o Paulo",-46.746958,-23.609207,Very Good
Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",-84.221535,31.610387,Average
BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",-84.207095,31.608743,Average
Cookie Shoppe,Albany,"115 N Jackson St, Albany, GA 31701",-84.154,31.5772,Average
El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",-84.2194,31.6158,Average
Elements Coffee Co - Northwest,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",-84.206944,31.622412,Average
Pearly's Famous Country Cookng,Albany,"814 N Slappey Blvd, Albany, GA 31701",-84.1759,31.5882,Average
Chick-fil-A,Albany,"2703 Dawson Rd, Albany, GA 31707",-84.2193,31.616,Good
Guang Zhou Chinese Restaurant,Albany,"1214 N Westover Blvd, Albany, GA 31707",-84.2091458,31.6155186,Good
Harvest Moon,Albany,"2347 Dawson Road, Albany, GA 31707",-84.205718,31.604905,Good
Henry Campbell's Steakhouse,Albany,"629 N. Westover Blvd, Albany, GA 31707",-84.223278,31.612121,Good
Hong Kong Cafe,Albany,"2700 Dawson Rd, Albany, GA 31707",-84.2191,31.6156,Good
House of China Restaurant II,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",-84.212,31.6104,Good
Jimmie's Hot Dogs,Albany,"204 S Jackson St, Albany, GA 31701",-84.1534,31.5751,Good
Locos Grill & Pub,Albany,"547 N Westover Blvd, Albany, GA 31707",-84.2228,31.6077,Good
Longhorn Steakhouse,Albany,"2733 Dawson Rd, Albany, GA 31707",-84.2229,31.6185,Good
Mikata Japanese Steakhouse,Albany,"2610 Dawson Rd, Albany, GA 31707",-84.2164,31.6137,Good
Shogun Japanese Steak House,Albany,"629 N Westover Blvd, Albany, GA 31707",-84.2233,31.6118,Good
The Catch Seafood Room & Oyster Bar,Albany,"2332 Whispering Pines Road, Albany, GA 31707",-84.205025,31.605882,Good
Villa Gargano,Albany,"1604 N Slappey Blvd, Albany, GA 31701",-84.1757,31.5985,Good
3 Squares Diner,Albany,"202 W Franklin St, Sylvester, GA 31791",-83.8389,31.5308,Average
Whitebull Hotel,Armidale,"117 Marsh St, Armidale, NSW",151.6688792,-30.5147169,Good
Last Resort Grill,Athens,"184 W Clayton St, Athens, GA 30601",-83.378273,33.957999,Excellent
Mama's Boy Restaurant,Athens,"197 Oak St, GA 30601",-83.3654,33.9535,Excellent
Sr. Sol 1,Athens,"175 Tallassee Rd, Athens, GA 30606",-83.4293,33.9652,Excellent
Choo Choo Eastside,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",-83.3389,33.9259,Good
The Grill,Athens,"171 College Ave, Athens, GA 30601",-83.375523,33.958198,Good
Big City Bread Cafe,Athens,"393 N Finley St, Athens, GA 30601",-83.384004,33.959392,Very Good
Clocked,Athens,"259 W Washington St, Athens, GA 30601",-83.3797,33.9584,Very Good
DePalma's Italian Cafe - Downtown,Athens,"401 E Broad St, Athens, GA 30601",-83.373596,33.958112,Very Good
DePalma's Italian Cafe - East Side,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",-83.33995,33.924275,Very Good
Five & Ten,Athens,"1073 South Milledge Ave, Athens, GA 30605",-83.3872482,33.9415545,Very Good
Grit,Athens,"199 Prince Ave, Athens, GA 30601",-83.381625,33.960112,Very Good
Ike & Jane,Athens,"1307 Prince Ave, Athens, GA 30606",-83.400887,33.963296,Very Good
La Dolce Vita Ristorante,Athens,"323 E Broad St, Athens, GA 30601",-83.4075,33.9584,Very Good
Shokitini,Athens,"251 W Clayton St, Athens, GA 30601",-83.379251,33.957503,Very Good
Taqueria Del Sol,Athens,"334 Prince Ave, Athens, GA 30601",-83.383605,33.960571,Very Good
The National,Athens,"232 W. Hancock Ave., Athens, GA 30601",-83.37967,33.959468,Very Good
The Royal Peasant,Athens,"1675 S. Lumpkin St., Athens, GA 30606",-83.38728,33.937502,Very Good
Transmetropolitan,Athens,"145 E Clayton St, Athens, GA 30601",-83.3764,33.9584,Very Good
Trappeze Pub,Athens,"269 N Hull St, Athens, GA 30601",-83.378881,33.958363,Very Good
Viva! Argentine Cuisine,Athens,"247 Prince Ave, Athens, GA 30601",-83.3828224,33.9600227,Very Good
Miyabi Kyoto Japanese Steak House,Augusta,"1315 Augusta West Pkwy, Augusta, GA 30909",-82.0865,33.4721,Excellent
Rae's Coastal Cafe,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",-82.0698,33.4791,Excellent
The Bee's Knees,Augusta,"211 10th Street, Augusta, GA 30901",-81.97,33.4765,Excellent
Boll Weevil Cafe,Augusta,"10 9th St, Augusta, GA 30901",-81.9684,33.474,Good
Farmhaus Burger,Augusta,"1204 Broad St, Augusta, GA 30901",-81.973006,33.477444,Good
Manuel's Bread Cafe,Augusta,"505 Railroad Ave, North Augusta, GA 29841",-81.965571,33.481779,Good
Sconyers Bar B Que,Augusta,"2250 Sconyers Way, Augusta, GA 30906",-82.0327,33.4086,Good
Frog Hollow Tavern,Augusta,"1282 broad street, Augusta, GA 30901",-81.974944,33.478231,Very Good
Giuseppe's Pizza & Italian Specialities,Augusta,"3690 Wheeler Rd, Augusta, GA 30909",-82.096,33.4827,Very Good
Mellow Mushroom,Augusta,"1167 Broad St, Augusta, GA 30901",-81.9721,33.4778,Very Good
Nacho Mamas Burritos,Augusta,"976 Broad St, Augusta, GA 30901",-81.9694,33.4764,Very Good
Rhinehart's Oyster Bar,Augusta,"3051 Washington Rd, Augusta, GA 30907",-82.0505,33.5133,Very Good
Takosushi,Augusta,"437 Highland Ave, Augusta, GA 30909",-82.0301,33.4848,Very Good
The Chop House,Augusta,"Augusta Mall, Augusta, GA 30909",-82.080788,33.467201,Very Good
The Taj of India,Augusta,"502 Furys Ferry Rd, Augusta, GA 30907",-82.0805493,33.5375868,Very Good
Augsburg Haus,Augusta,"4460 Washington Road, Evans, GA 30809",-82.143793,33.544342,Good
Pho Bac,Augusta,"4300 Towne Centre, Evans, GA 30809",-82.126161,33.532249,Very Good
Rhinehart's Oyster Bar,Augusta,"303 North Bel Air Rd, Evans, GA 30809",-82.141284,33.521291,Very Good
Thai Kitchen,Augusta,"4357 Washington Road, Evans, GA 30809",-82.1328,33.5406,Very Good
El Kiosco Mexican Restaurant,Augusta,"5174 Wrightsboro Rd, Grovetown, GA 30813",-82.1997,33.4574,Very Good
Taste of Balingup,Balingup,"63 South Western Hwy, Balingup, WA",115.9844924,-33.7845269,Average
Bridge Road Brewers,Beechworth,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC",146.685852,-36.360439,Excellent
Bardenay,Boise,"610 W Grove St, Boise, ID 83702",-116.2019,43.6138,Excellent
Flatbread Neapolitan Pizzeria,Boise,"800 W Main Suite 230, Boise, ID 83702",-116.203466,43.616068,Excellent
Goldy's Breakfast Bistro,Boise,"108 S Capitol Blvd, Boise, ID 83702",-116.2023,43.6149,Excellent
Chandlers Steakhouse,Boise,"981 W Grove St, Boise, ID 83702",-116.2064,43.6157,Good
Bar Gernika Basque Pub & Eatery,Boise,"202 S Capitol Blvd, Boise, ID 83702",-116.2031,43.614,Very Good
Barbacoa Restaurant,Boise,"276 Bobwhite Ct, Boise, ID 83706",-116.185034,43.597235,Very Good
Big Jud's,Boise,"1289 Protest Rd, Boise, ID 83706",-116.2062,43.5945,Very Good
Bittercreek Ale House,Boise,"246 N 8th St, Boise, ID 83702",-116.2022,43.6167,Very Good
Boise Fry Company,Boise,"204 N Capitol Blvd, Boise, ID 83702",-116.193409,43.610279,Very Good
Flying Pie Pizzaria,Boise,"6508 W Fairview Ave, Boise, ID 83704",-116.2625,43.6192,Very Good
Fork,Boise,"199 N 8th St, Boise, ID 83702",-116.202845,43.616295,Very Good
Guido's Original New York Style Pizza,Boise,"235 N 5th St, Boise, ID 83702",-116.199,43.615,Very Good
Los Beto's,Boise,"5220 W Fairview Ave, Boise, ID 83706",-116.2463,43.6191,Very Good
Lucianos Italian Restaurant,Boise,"11 N Orchard St, Boise, ID 83706",-116.245165,43.6051379,Very Good
Mai Thai Restaurant,Boise,"750 W Idaho St, Boise, ID 83702",-116.2021,43.6162,Very Good
Shige Japanese Cuisine,Boise,"100 N 8th St, Boise, ID 83702",-116.2031,43.6156,Very Good
The Egg Factory,Boise,"8061 W Fairview Ave, Boise, ID 83704",-116.281809,43.619274,Very Good
Tucanos,Boise,"1388 S Entertainment Ave, Boise, ID 83709",-116.280614,43.591706,Very Good
Texas Roadhouse,Boise,"3801 E Fairview Avenue, Meridian, Boise, ID 83642",-116.347304,43.619108,Very Good
Brick 29,Boise,"320 11th Avenue S, Nampa, ID 83651",-116.5629,43.5777,Very Good
Winifreds,Cedar Rapids/Iowa City,"3847 1st Ave SE, Cedar Rapids, IA 52402",-91.6336,42.0179,Good
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,"320 Collins Rd NE, Cedar Rapids, IA 52402",-91.6327,42.0281,Very Good
El Super Burrito,Cedar Rapids/Iowa City,"3300 Johnson Ave NW, Cedar Rapids, IA 52405",-91.7148,41.9748,Very Good
Granite City Food & Brewery,Cedar Rapids/Iowa City,"4755 1st Ave SE, Cedar Rapids, IA 52402",-91.6224,42.0249,Very Good
Irish Democrat,Cedar Rapids/Iowa City,"3207 1st Ave SE, Cedar Rapids, IA 52402",-91.6347,42.01,Very Good
Taste of India,Cedar Rapids/Iowa City,"1060 Old Marion Rd NE, Cedar Rapids, IA 52402",-91.6499622,42.0215347,Very Good
Thai Moon Restaurant,Cedar Rapids/Iowa City,"4362 16th Ave SW, Cedar Rapids, IA 52404",-91.7266,41.9639,Very Good
Ting's Red Lantern,Cedar Rapids/Iowa City,"540 Boyson Rd NE, Cedar Rapids, IA 52402",-91.6394,42.0468,Very Good
Monica's,Cedar Rapids/Iowa City,"303 2nd Street, Coralville, IA 52241",-91.569767,41.670466,Good
Exotic India,Cedar Rapids/Iowa City,"102 2nd Ave, Coralville, IA 52241",-91.5687,41.6685,Very Good
Shorts Burger and Shine,Cedar Rapids/Iowa City,"18 S Clinton St, Iowa City, IA 52240",-91.534424,41.660982,Excellent
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,"214 N Linn St, Iowa City, IA 52245",-91.531414,41.663849,Excellent
Bluebird Diner,Cedar Rapids/Iowa City,"330 E Market St, Iowa City, IA 52245",-91.531093,41.663751,Good
Graze,Cedar Rapids/Iowa City,"115 East College St, Iowa City, IA 52240",-91.534302,41.658691,Good
A & A Pagliai's Pizza,Cedar Rapids/Iowa City,"302 E Bloomington St, Iowa City, IA 52245",-91.5314,41.6648,Very Good
Atlas World Grill,Cedar Rapids/Iowa City,"127 Iowa Ave, Iowa City, IA 52240",-91.5341,41.661,Very Good
BlackStone,Cedar Rapids/Iowa City,"503 Westbury Dr Ste 1, Iowa City, IA 52245",-91.482165,41.667742,Very Good
Devotay,Cedar Rapids/Iowa City,"117 N Linn St, Iowa City, IA 52245",-91.5318,41.6625,Very Good
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,"1940 Lower Muscatine Rd, Iowa City, IA 52240",-91.5074,41.6428,Very Good
Zoeys Pizzeria,Cedar Rapids/Iowa City,"690 10th St, Marion, IA 52302",-91.5995,42.0331,Excellent
Tokyo Sushi,Chatham-Kent,"150 Richmond St, Chatham-Kent, ON N7M2V2",-82.188438,42.397683,Good
Berry Patch Restaurant,Clatskanie,"49289 Us-30, Westport, OR 97016",-123.368151,46.126967,Very Good
Sakura Sushi & Grill,Cochrane,"130 Quarry Street, Unit 20, Cochrane, AB T4C 0W5",-114.472474,51.183934,Average
Uptown Vietnam cuisine,Columbus,"1250 Broadway, Columbus, GA 31901",-84.992671,32.470315,Average
Cafe Le Rue @ The Landings,Columbus,"2523 Airport Thruway, Columbus, GA 31904",-84.95591,32.519247,Excellent
Mark's City Grille,Columbus,"7160 moon road, Columbus, GA 31909",-84.927047,32.555591,Excellent
B Merrell's,Columbus,"7600 Veterans Pkwy, Columbus, GA 31909",-84.9436,32.5577,Good
Cannon Brewpub,Columbus,"1041 Broadway, Columbus, GA 31901",-84.9936,32.4656,Good
Fuji Japanese Steak House,Columbus,"6499 Veterans Pkwy, Columbus, GA 31909",-84.954984,32.5382197,Good
Ruth Ann's Family Restaurant,Columbus,"941 Veterans Parkway, Columbus, GA 31901",-84.9876,32.4637,Good
Samurai Japanese Cuisine & Sushi Bar,Columbus,"1009 Broadway, Columbus, GA 31901",-84.9933631,32.4652417,Good
Wasabi Sushi and Thai,Columbus,"1639 Bradley Park Dr, Columbus, GA 31904",-84.96661,32.534002,Good
Buckhead Bar and Grill,Columbus,"5010 Armour Rd, Columbus, GA 31904",-84.95367,32.513154,Very Good
Burt's Butcher Shoppe and Eatery,Columbus,"2932 Warm Springs Rd, Columbus, GA 31909",-84.947569,32.504657,Very Good
Chef Lee's Peking Restaurant,Columbus,"6100 Bradley Park Dr, Columbus, GA 31904",-84.9607,32.5393,Very Good
Country's Barbecue,Columbus,"3137 Mercury Dr, Columbus, GA 31906",-84.9464,32.4792,Very Good
Deorio's,Columbus,"3201 Macon Rd Ste 167, Columbus, GA 31906",-84.9427,32.481,Very Good
Mellow Mushroom,Columbus,"6100 Veterans Pkwy, Columbus, GA 31909",-84.9557,32.5321,Very Good
Meritage,Columbus,"1039 1st Ave, Columbus, GA 31901",-84.992093,32.466158,Very Good
Mongo The Mongolian Fire Pit,Columbus,"7830 - E Veterans Pkwy, Columbus, GA 31909",-84.938698,32.560905,Very Good
The Black Cow,Columbus,"115 A 12th St, Columbus, GA 31901",-84.991384,32.468757,Very Good
Wood Stone,Columbus,"5739 Whitesville Rd, Columbus, GA 31904",-84.963201,32.527217,Very Good
Hunter's Pub,Columbus,"11269 GA Hwy 219, Hamilton, GA 31811",-85.0213,32.7455,Very Good
Consort Restaurant,Consort,"4931 50th Street, Consort, AB T0C 1B0",-110.7746994,52.0082889,Average
Thatcher's Barbeque and Grill,Dalton,"1214 N Wall St, Calhoun, GA 30701",-84.9396931,34.5251331,Good
Christian and Jake's Bistro,Dalton,"555 Georgia Hwy 53, Calhoun, GA 30701",-84.926258,34.474635,Very Good
Dub's High on the Hog,Dalton,"349 S Wall St, Calhoun, GA 30701",-84.9523921,34.4972488,Very Good
Sierra's Mexican Restaurant,Dalton,"500 S. 3rd Avenue, Chatsworth, GA 30705",-84.767911,34.752476,Good
Oakwood Cafe,Dalton,"201 West Cuyler Street, Dalton, GA 30720",-84.969393,34.769686,Excellent
Chili's Grill & Bar,Dalton,"881 College Dr, Dalton, GA 30720",-85.0039,34.7643,Good
Fuji Japanese Steakhouse,Dalton,"1321 W Walnut Ave, Dalton, GA 30720",-84.992342,34.759551,Good
Las Palmas,Dalton,"1331 W Walnut Ave, Dalton, GA 30720",-84.992924,34.759665,Good
Tony's Italian Restaurant & Pizza,Dalton,"933 Market St, Dalton, GA 30720",-84.999678,34.758645,Good
Filling Station,Dalton,"316 N Hamilton St, Dalton, GA 30720",-84.9678,34.7742,Very Good
